Name,Price,Performance,Design,Storage,Battery
Apple MacBook Air M3 MRXP3HN/A Ultrabook (Apple M3/8 GB/512 GB SSD/macOS Sonoma),"Rs.134,900","Apple M3
8 GB RAM","13.6 inches (34.54 cm)
2560 x 1664 pixels
1.24 Kg, 11.3 mm thick",512 GB SSD,"Li-Po
18 Hrs"
Lenovo LOQ (83DV00HBIN) Laptop (Core i7 13th Gen/16 GB/1 TB SSD/Windows 11/6 GB),"Rs.103,990","Core i7 13th Gen
2.6 Ghz
16 GB DDR5 RAM
6 GB Graphics","15.6 inches (39.62 cm)
1920 x 1080 pixels
2.38 Kg",1 TB SSD,"Li-Ion
4 Cell
6 Hrs"
Lenovo IdeaPad Gaming 3 15IHU6 (82K101M5IN) Laptop (Core i5 11th Gen/16 GB/512 GB SSD/Windows 11/4 GB),"Rs.49,990","Core i5 11th Gen
3.1 Ghz
16 GB DDR4 RAM
4 GB Graphics","15.6 inches (39.62 cm)
1920 x 1080 pixels
2.25 Kg",512 GB SSD,"Li-Ion
3 Cell
6.5 Hrs"
Lenovo Legion 5i (83DG004RIN) Laptop (Core i7 14th Gen/16 GB/1 TB SSD/Windows 11/6 GB),"Rs.145,868","Core i7 14th Gen
3.4 Ghz
16 GB DDR5 RAM
6 GB Graphics","16 inches (40.64 cm)
2560 x 1600 pixels",1 TB SSD,"Li-Po
4 Cell"
Lenovo IdeaPad Gaming 3 15ACH6 (82K2025XIN) Laptop (AMD Hexa Core Ryzen 5/16 GB/512 GB SSD/Windows 11/4 GB),"Rs.49,990","AMD Hexa Core Ryzen 5
3.3 Ghz
16 GB DDR4 RAM
4 GB Graphics","15.6 inches (39.62 cm)
1920 x 1080 pixels
2.25 Kg, 24.2 mm thick",512 GB SSD,"Li-Ion
3 Cell
6.5 Hrs"
Lenovo Legion 5i (83DG004SIN) Laptop (Core i7 14th Gen/16 GB/1 TB SSD/Windows 11/8 GB),"Rs.165,802","Core i7 14th Gen
3.4 Ghz
16 GB DDR5 RAM
8 GB Graphics","16 inches (40.64 cm)
2560 x 1600 pixels",1 TB SSD,"Li-Po
4 Cell"
Acer Aspire Lite AL15-52 (UN.431SI.332) Laptop (Core i5 12th Gen/8 GB/512 GB SSD/Windows 11),"Rs.41,990","Core i5 12th Gen
4.2 Ghz
8 GB DDR5 RAM","15.6 inches (39.62 cm)
1920 x 1080 pixels
1.59 Kg, 19.9 mm thick",512 GB SSD,"Li-Ion
3 Cell
11 Hrs"
Lenovo IdeaPad Slim 3 15IAH8 (83ER00BCIN) Laptop (Core i5 12th Gen/16 GB/512 GB SSD/Windows 11),"Rs.52,490","Core i5 12th Gen
2.0 Ghz
16 GB LPDDR5 RAM","15.6 inches (39.62 cm)
1920 x 1080 pixels
1.62 Kg, 17.9 mm thick",512 GB SSD,"Li-Ion
3 Cell
12 Hrs"
Lenovo IdeaPad Slim 3 14M868 (82XJ002RHA) Laptop (MediaTek Octa core/8 GB/128 GB eMMC/Google Chrome),"Rs.23,650","MediaTek Octa-core
2.0 Ghz
8 GB LPDDR4X RAM","14 inches (35.56 cm)
1366 x 768 pixels
1.3 Kg, 18.6 mm thick",10 Hrs,N/A
HP 15s-EQ2305AU (9D3N8PA) Laptop (AMD Hexa Core Ryzen 5/16 GB/512 GB SSD/Windows 11),"Rs.43,400","AMD Hexa Core Ryzen 5
16 GB DDR4 RAM","15.6 inches (39.62 cm)
1920 x 1080 pixels",512 GB SSD,"Li-Ion
6 Hrs"
Lenovo IdeaPad Slim 3 14IAH8 (83EQ0044IN) Laptop (Core i5 12th Gen/16 GB/512 GB SSD/Windows 11),"Rs.54,990","Core i5 12th Gen
2.0 Ghz
16 GB LPDDR5 RAM","14 inches (35.56 cm)
1920 x 1080 pixels
1.37 Kg, 17.9 mm thick",512 GB SSD,"Li-Ion
4 Cell
6 Hrs"
Acer Aspire Lite AL15-41 (UN.31ZSI.007) Laptop (AMD Octa Core Ryzen 7/16 GB/512 GB SSD/Windows 11),"Rs.44,999","AMD Octa Core Ryzen 7
1.8 Ghz
16 GB DDR4 RAM","15.6 inches (39.62 cm)
1920 x 1080 pixels
1.59 Kg, 19.7 mm thick",512 GB SSD,"Li-Ion
3 Cell
7 Hrs"
Lenovo IdeaPad Slim 1i 14IGL7 (82V700ECIN) Laptop (Intel Celeron Dual Core/8 GB/512 GB SSD/Windows 11),"Rs.26,990","Intel Celeron Dual Core
1.1 Ghz
8 GB DDR4 RAM","15.6 inches (39.62 cm)
1366 x 768 pixels
1.54 Kg",512 GB SSD,"Li-Po
3 Cell
10 Hrs"
Lenovo ThinkPad E14 Gen5 (21JKS13K00) Laptop (Core i7 13th Gen/16 GB/512 GB SSD/Windows 11),"Rs.96,990","Core i7 13th Gen
4.8 Ghz
16 GB DDR4 RAM","14 inches (35.56 cm)
1920 x 1200 pixels
1.41 Kg",512 GB SSD,"Li-Po
3 Cell"
Lenovo V14 (82TSA0EMIH) Laptop (Core i3 12th Gen/8 GB/512 GB SSD/Windows 11),"Rs.44,990","Core i3 12th Gen
4.2 Ghz
8 GB DDR4 RAM","14 inches (35.56 cm)
1920 x 1080 pixels
1.43 Kg",512 GB SSD,"Li-Po
2 Cell
5.8 Hrs"
Lenovo ThinkPad E14 Gen 5 (21JRS00D00) Laptop (AMD Hexa Core Ryzen 5/8 GB/512 GB SSD/Windows 11),"Rs.62,999","AMD Hexa Core Ryzen 5
2.0 Ghz
8 GB DDR4 RAM","14 inches (35.56 cm)
1920 x 1200 pixels
1.41 Kg",512 GB SSD,"Li-Po
3 Cell
12.38 Hrs"
MSI Prestige 16 AI Evo B1MG-033IN Laptop (Intel Core Ultra 7/16 GB/1 TB SSD/Windows 11),"Rs.119,990","Core Ultra 7
4.8 Ghz
16 GB LPDDR5 RAM","16 inches (40.64 cm)
2561 x 1600 pixels
1.5 Kg, 18.9 mm thick",1 TB SSD,N/A
Lenovo ThinkBook 15 G5 (21JFA02KIN) Laptop (AMD Hexa Core Ryzen 5/16 GB/512 GB SSD/Windows 11),"Rs.42,990","AMD Hexa Core Ryzen 5
2.0 Ghz
16 GB DDR4 RAM","15.6 inches (39.62 cm)
1920 x 1080 pixels
1.70 Kg",512 GB SSD,"Li-Po
3 Cell
8.8 Hrs"
Lenovo ThinkBook 15 G5 (21JFA02LIN) Laptop (AMD Octa Core Ryzen 7/16 GB/512 GB SSD/Windows 11),"Rs.48,990","AMD Octa Core Ryzen 7
2.0 Ghz
16 GB DDR4 RAM","15.6 inches (39.62 cm)
1920 x 1080 pixels
1.70 Kg",512 GB SSD,"Li-Po
3 Cell
8.8 Hrs"
Lenovo ThinkBook 15 Gen 5 (21JFA02NIN) Laptop (AMD Octa Core Ryzen 7/16 GB/512 GB SSD/Windows 11),"Rs.46,990","AMD Octa Core Ryzen 7
2.0 Ghz
16 GB DDR4 RAM","15.6 inches (39.62 cm)
1920 x 1080 pixels
1.7 Kg, 18.9 mm thick",512 GB SSD,"Li-Ion
3 Cell
8.8 Hrs"
Lenovo ThinkPad E14 G4 (21E3S02M00) Laptop (Core i7 12th Gen/16 GB/512 GB SSD/Windows 11),"Rs.97,000","Core i7 12th Gen
4.0 Ghz
16 GB DDR4 RAM","14 inches (35.56 cm)
1920 x 1080 pixels
2 Kg",512 GB SSD,"Li-Ion
3 Cell
6 Hrs"
Lenovo ThinkPad E14 Gen 4 (21E3S06C00) Laptop (Core i5 12th Gen/8 GB/512 GB SSD/Windows 11),"Rs.79,999","Core i5 12th Gen
3.3 Ghz
8 GB DDR4 RAM","14 inches (35.56 cm)
1920 x 1080 pixels
1.59 Kg, 18.9 mm thick",512 GB SSD,"Li-Ion
3 Cell"
HP Victus 15-fa1128TX (8U1H6PA) Laptop (Core i5 13th Gen/16 GB/512 GB SSD/Windows 11/4 GB),"Rs.62,799","Core i5 13th Gen
4.8 Ghz
16 GB DDR4 RAM
4 GB Graphics","15.6 inches (39.62 cm)
1920 x 1080 pixels
2.29 Kg, 23.5 mm thick",512 GB SSD,"Li-Ion
3 Cell"
Acer Aspire Lite AL15-52 (UN.431SI.341) Laptop (Core i3 12th Gen/8 GB/512 GB SSD/Windows 11),"Rs.30,990","Core i3 12th Gen
4.2 Ghz
8 GB DDR4 RAM","15.6 inches (39.62 cm)
1920 x 1080 pixels
1.59 Kg, 19.7 mm thick",512 GB SSD,"Li-Ion
3 Cell
7 Hrs"
HP 15s-er2004AU (9A1C1PA) Laptop (AMD Octa Core Ryzen 7/16 GB/512 GB SSD/Windows 11),"Rs.61,338","AMD Octa Core Ryzen 7
4.2 Ghz
16 GB DDR4 RAM","15.6 inches (39.62 cm)
1920 x 1080 pixels
1.69 Kg, 17.9 mm thick",512 GB SSD,"Li-Ion
3 Cell
9 Hrs"
MSI Stealth 16 AI Studio A1VFG-058IN Laptop (Core Ultra 7/32 GB/1 TB SSD/Windows 11/8 GB),"Rs.199,990","Core Ultra 7
4.8 Ghz
32 GB DDR5 RAM
8 GB Graphics","16 inches (40.64 cm)
2560 x 1600 pixels
1.99 Kg, 19.9 mm thick",1 TB SSD,N/A
Samsung Galaxy Book 4 Pro NP940XGK-KS1IN Laptop (Core Ultra 5/16 GB/512 GB SSD/Windows 11),"Rs.131,990","Core Ultra 5
4.2 Ghz
16 GB LPDDR5X RAM","14 inches (35.56 cm)
2880 x 1800 pixels
1.23 Kg, 11.6 mm thick
Touch Screen",512 GB SSD,N/A
Samsung Galaxy Book 4 Pro NP940XGK-KG1IN Laptop (Core Ultra 5/16 GB/512 GB SSD/Windows 11),"Rs.131,990","Core Ultra 5
4.2 Ghz
16 GB LPDDR5X RAM","14 inches (35.56 cm)
2880 x 1800 pixels
1.23 Kg, 11.6 mm thick
Touch Screen",512 GB SSD,"Li-Ion
4 Cell
7.5 Hrs"
Samsung Galaxy Book 4 Pro NP960XGK-KG2IN Laptop (Core Ultra 7/16 GB/512 GB SSD/Windows 11),"Rs.149,990","Core Ultra 7
4.8 Ghz
16 GB LPDDR5X RAM","16 inches (40.64 cm)
2880 x 1800 pixels
1.56 Kg, 12.5 mm thick
Touch Screen",512 GB SSD,"Li-Ion
4 Cell
7.5 Hrs"
Samsung Galaxy Book 4 360 NP750QGK-KG1IN Laptop (Core 5 Series 1 /16 GB/512 GB SSD/Windows 11),"Rs.108,990","Core 5 (Series 1)
1.4 Ghz
16 GB LPDDR5 RAM","15.6 inches (39.62 cm)
1920 x 1080 pixels
1.46 Kg, 13.7 mm thick
2-in-1, Touch Screen",512 GB SSD,8.7 Hrs
Samsung Galaxy Book 4 Pro NP960XGK-KG1IN Laptop (Core Ultra 5/16 GB/512 GB SSD/Windows 11),"Rs.141,990","Core Ultra 5
4.2 Ghz
16 GB LPDDR5X RAM","16 inches (40.64 cm)
2880 x 1800 pixels
1.56 Kg, 12.5 mm thick
Touch Screen",512 GB SSD,"4 Cell
7.5 Hrs"
Samsung Galaxy Book 4 Pro NP940XGK-KG3IN Laptop (Core Ultra 7/32 GB/1 TB SSD/Windows 11),"Rs.171,990","Core Ultra 7
4.8 Ghz
32 GB LPDDR5X RAM","14 inches (35.56 cm)
2880 x 1800 pixels
1.23 Kg, 11.6 mm thick
Touch Screen",1 TB SSD,"Li-Ion
4 Cell
7.5 Hrs"
Lenovo ThinkPad P14s Gen4 (21HF001FIG) Laptop (Core i7 13th Gen/16 GB/512 GB SSD/Windows 11/4 GB),"Rs.129,990","Core i7 13th Gen
2.2 Ghz
16 GB LPDDR5X RAM
4 GB Graphics","14 inches (35.56 cm)
1920 x 1200 pixels
1.34 Kg",512 GB SSD,"Li-Po
4 Cell"
Lenovo ThinkPad E16 G1 (21JN004GIG) Laptop (Core i5 13th Gen/8 GB/512 GB SSD/DOS),"Rs.63,490","Core i5 13th Gen
4.7 Ghz
8 GB DDR4 RAM","16 inches (40.64 cm)
1920 x 1200 pixels
1.77 Kg",512 GB SSD,"Li-Ion
3 Cell"
Lenovo ThinkPad E14 Gen5 (21JKS0X800) Laptop (Core i5 13th Gen/16 GB/512 GB SSD/Windows 11),"Rs.74,990","Core i5 13th Gen
1.3 Ghz
16 GB DDR4 RAM","14 inches (35.56 cm)
1920 x 1200 pixels
1.41 Kg",512 GB SSD,"Li-Po
3 Cell"
MSI Katana 15 B13VGK-2009IN Laptop (Core i7 13th Gen/16 GB/1 TB SSD/Windows 11/8 GB),"Rs.129,990","Core i7 13th Gen
4.8 Ghz
16 GB DDR5 RAM
8 GB Graphics","15.6 inches (39.62 cm)
1920 x 1080 pixels
2.25 Kg, 24.9 mm thick",1 TB SSD,"Li-Ion
3 Cell"
Lenovo ThinkPad P14s Gen4 (21HF001EIG) Laptop (Core i7 13th Gen/16 GB/512 GB SSD/Windows 11),"Rs.109,990","Core i7 13th Gen
2.2 Ghz
16 GB DDR5 RAM","14 inches (35.56 cm)
1920 x 1200 pixels
1.34 Kg",512 GB SSD,"Li-Po
4 Cell"
Lenovo ThinkPad P14s Gen4 (21K5S00700) Laptop (AMD Octa Core Ryzen 7/32 GB/512 GB SSD/Windows 11),"Rs.109,990","AMD Octa Core Ryzen 7
3.3 Ghz
32 GB LPDDR5X RAM","14 inches (35.56 cm)
1920 x 1200 pixels
1.34 Kg",512 GB SSD,"Li-Po
3 Cell"
MSI Katana 17 B13VGK-1230IN Laptop (Core i9 13th Gen/16 GB/1 TB SSD/Windows 11/8 GB),"Rs.142,990","Core i9 13th Gen
1.9 Ghz
16 GB DDR5 RAM
8 GB Graphics","17.3 inches (43.94 cm)
2560 x 1440 pixels
2.6 Kg, 25.2 mm thick",1 TB SSD,"Li-Ion
3 Cell"
